Process	rawID	newID	Orthogroup_ID	IPR_ID	IPR_desc	Organism...6	ko_evalue	ko_ID	ko_desc	KeggPathway_ID	KeggPathway_desc	BP:GO	BP:desc	BP:catIII	BP:catII	MF:GO	MF:desc	MF:catIII	MF:catII	CC:GO	CC:desc	CC:catIII	CC:catII	hit	hit_desc	Organism...26	uni_evalue	%algCopepod	%algHit	Pfam_ID	Pfam_desc	Pfam_evalue	peptideSignal	TM_occurence	RPKM_Hypox1	RPKM_Hypox2	RPKM_Hypox3	RPKM_Norma1	RPKM_Norma2	RPKM_Norma3	Mean_Metridinidae	Mean_Centropagoidae	Mean_Pancalanidae
Aameta	TRINITY_DN6119_c0_g2_i1	Eucalanus-hyalinus_21034	OG0002418	IPR005786|IPR018300|IPR033939|IPR036038|IPR043131|IPR043132	Branched-chain amino acid aminotransferase II|Aminotransferase, class IV, conserved site|Branched-chain aminotransferase|Aminotransferase-like, PLP-dependent enzymes|Branched-chain-amino-acid aminotransferase-like, N-terminal|Branched-chain-amino-acid aminotransferase-like, C-terminal	Bilateria|Arthropoda	5.03e-144	ko01000|ko01007	Enzymes|Amino_acid_related_enzymes	ko00270|ko00280|ko00290|ko00770	Cysteine_and_methionine_metabolism_(Amino_acid_metabolism)|Valine,_leucine_and_isoleucine_degradation_(Amino_acid_metabolism)|Valine,_leucine_and_isoleucine_biosynthesis_(Amino_acid_metabolism)|Pantothenate_and_CoA_biosynthesis_(Metabolism_of_cofactors_and_vitamins)	GO:0009081	branched-chain_amino_acid_metabolic_process	cellular_metabolic_process	metabolic_process	GO:0004084|GO:0003824	branched-chain-amino-acid_transaminase_activity|catalytic_activity	transferase_activity|catalytic_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A553PQR9|A0A553PQR9_TIGCA	Branched-chain-amino-acid_aminotransferase_(Fragment)	Tigriopus_californicus	1.1e-156	87	92	PF01063	Amino-transferase class IV	1.2E-26	N	0	25.3999267665384	62.823111350994	28.8018919603714	5.07743442204276	5.52424358174125	4.49561411932571	3	1,8	3,944444444
Aameta	TRINITY_DN39192_c0_g1_i1	Eucalanus-hyalinus_42569	OG0002504	IPR000277|IPR015421|IPR015422|IPR015424	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme|Pyridoxal phosphate-dependent transferase, major domain|Pyridoxal phosphate-dependent transferase, small domain|Pyridoxal phosphate-dependent transferase	Diptera|Nematocera	4.74e-103	ko01000|ko04147	Enzymes|Exosome	ko00260|ko00270|ko00450	Glycine,_serine_and_threonine_metabolism_(Amino_acid_metabolism)|Cysteine_and_methionine_metabolism_(Amino_acid_metabolism)|Selenocompound_metabolism_(Metabolism_of_other_amino_acids)	GO:0019346	transsulfuration	cellular_metabolic_process	metabolic_process	GO:0030170|GO:0003824	pyridoxal_phosphate_binding|catalytic_activity	ion_binding|catalytic_activity	binding|catalytic_activity	-	-	-	-	tr|A0A182X5L1|A0A182X5L1_ANOQN	cystathionine_gamma-lyase	Anopheles_quadriannulatus	6.7e-84	98	81	PF01053	Cys/Met metabolism PLP-dependent enzyme	2.5E-115	N	0	4.26536547353351	11.0756659316845	1.98551383131365	0.618655730433609	0.677467575582097	0.404302239563626	2,333333333	1,9	2,277777778
Aameta	TRINITY_DN13788_c0_g1_i1	Eucalanus-hyalinus_40237	OG0002529	IPR020845|IPR045851	AMP-binding, conserved site|AMP-binding enzyme, C-terminal domain superfamily	Bilateria|Arthropoda	4.04e-230	ko01000|ko01004	Enzymes|Lipid_biosynthesis_proteins	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tr|E9GSF1|E9GSF1_DAPPU	Acyl-CoA_synthetase_family_member_2,_mitochondrial	Daphnia_pulex	6.7e-187	88	95	PF13193|PF00501	AMP-binding enzyme C-terminal domain|AMP-binding enzyme	1.2E-13|6.2E-101	N	0	3.20602615244612	4.04623077111049	3.8049027900118	0.908080462231637	0.707133269240294	0.659384796428612	4,666666667	2,1	2,722222222
Aameta	TRINITY_DN21989_c0_g1_i1	Eucalanus-hyalinus_18408	OG0003035	IPR000089|IPR002930|IPR003016|IPR011053|IPR017453|IPR033753	Biotin/lipoyl attachment|Glycine cleavage system H-protein|2-oxo acid dehydrogenase, lipoyl-binding site|Single hybrid motif|Glycine cleavage system H-protein, subgroup|Glycine cleavage system H-protein/Simiate	Insecta|Diptera	9.36e-52			ko00260|ko00630	Glycine,_serine_and_threonine_metabolism_(Amino_acid_metabolism)|Glyoxylate_and_dicarboxylate_metabolism_(Carbohydrate_metabolism)	GO:0019464	glycine_decarboxylation_via_glycine_cleavage_system	cellular_metabolic_process	metabolic_process	-	-	-	-	GO:0005960	glycine_cleavage_complex	catalytic_complex	protein-containing_complex	tr|W8CBG2|W8CBG2_CERCA	Glycine_cleavage_system_H_protein	Ceratitis_capitata	5.5e-39	85	74	PF01597	Glycine cleavage H-protein	4.0E-41	N	0	25.0423839414087	47.5519935994379	45.4771735279589	6.20292798268678	7.47809471030641	12.6446340549007	4	2,1	2,833333333
Aameta	TRINITY_DN23240_c0_g1_i1	Eucalanus-hyalinus_38521	OG0003874	IPR002347|IPR020904|IPR036291	Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase, conserved site|NAD(P)-binding domain superfamily	Arthropoda|Insecta	1.83e-92	ko01000	Enzymes	ko00790	Folate_biosynthesis_(Metabolism_of_cofactors_and_vitamins)	-	-	-	-	GO:0016491	oxidoreductase_activity	oxidoreductase_activity	catalytic_activity	-	-	-	-	tr|C1C1Q8|C1C1Q8_CALCM	Dihydropteridine_reductase	Caligus_clemensi	4.9e-74	99	99	PF00106	short chain dehydrogenase	3.4E-10	N	0	8.76768438624961	27.7918105649119	11.5349417697338	3.40820905281413	3.36577195069656	2.99676275812666	2,833333333	2,1	2,611111111
Aameta	TRINITY_DN17783_c0_g1_i1	Eucalanus-hyalinus_31042	OG0003957	IPR036380	Isochorismatase-like superfamily	Metazoa|Bilateria	1.11e-76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tr|A0A553NTU8|A0A553NTU8_TIGCA	Isochorismatase-like_domain-containing_protein	Tigriopus_californicus	8.9e-69	98	94	PF00857	Isochorismatase family	4.8E-28	N	0	20.2388190236976	28.7887804777052	22.4575915342469	3.64056099326561	3.47925558917037	2.71905107512221	1,166666667	1,9	2,777777778
Aameta	TRINITY_DN36207_c0_g1_i1	Eucalanus-hyalinus_7668	OG0004238	IPR001917|IPR011282|IPR015421|IPR015422|IPR015424	Aminotransferase, class-II, pyridoxal-phosphate binding site|2-amino-3-ketobutyrate coenzyme A ligase|Pyridoxal phosphate-dependent transferase, major domain|Pyridoxal phosphate-dependent transferase, small domain|Pyridoxal phosphate-dependent transferase	Bilateria|Arthropoda	3.89e-187	ko01000|ko01007	Enzymes|Amino_acid_related_enzymes	ko00260	Glycine,_serine_and_threonine_metabolism_(Amino_acid_metabolism)	GO:0009058|GO:0006567	biosynthetic_process|threonine_catabolic_process	biosynthetic_process|cellular_metabolic_process	metabolic_process|metabolic_process	GO:0003824|GO:0030170|GO:0016740|GO:0008890	catalytic_activity|pyridoxal_phosphate_binding|transferase_activity|glycine_C-acetyltransferase_activity	catalytic_activity|ion_binding|transferase_activity|transferase_activity	catalytic_activity|binding|catalytic_activity|catalytic_activity	-	-	-	-	tr|D3PI94|D3PI94_LEPSM	2-amino-3-ketobutyrate_coenzyme_A_ligase,_mitochondrial	Lepeophtheirus_salmonis	1.1e-156	95	92	PF00155	Aminotransferase class I and II	2.0E-67	N	0	8.06120356193694	11.8863471419569	10.4589197330164	0.821124878575517	1.97820532069972	1.20739350633319	2,333333333	1,4	2,222222222
Aameta	TRINITY_DN8735_c0_g1_i2	Eucalanus-hyalinus_11280	OG0004304	IPR005956|IPR029068|IPR037523|IPR041735|IPR041736	4-hydroxyphenylpyruvate dioxygenase|Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase|Vicinal oxygen chelate (VOC) domain|4-hydroxyphenylpyruvate dioxygenase, C-terminal|4-hydroxyphenylpyruvate dioxygenase, N-terminal	Arthropoda|Insecta	3.67e-204	ko01000|ko04147	Enzymes|Exosome	ko00130|ko00350|ko00360	Ubiquinone_and_other_terpenoid-quinone_biosynthesis_(Metabolism_of_cofactors_and_vitamins)|Tyrosine_metabolism_(Amino_acid_metabolism)|Phenylalanine_metabolism_(Amino_acid_metabolism)	GO:0009072	aromatic_amino_acid_metabolic_process	cellular_metabolic_process	metabolic_process	GO:0003868|GO:0016701	4-hydroxyphenylpyruvate_dioxygenase_activity|oxidoreductase_activity,_acting_on_single_donors_with_incorporation_of_molecular_oxygen	oxidoreductase_activity|oxidoreductase_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A0K2TMA2|A0A0K2TMA2_LEPSM	VOC_domain-containing_protein_(Fragment)	Lepeophtheirus_salmonis	8.9e-169	99	100	PF00903|PF13669	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily|Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	2.5E-12|3.4E-7	N	0	35.0992051476398	66.6983927138644	44.3694567991764	7.38748413355337	8.67896434195037	9.68360441602326	3	1,2	1,222222222
Aameta	TRINITY_DN15882_c0_g1_i1	Eucalanus-hyalinus_42653	OG0004640	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tr|A0A0U2V908|A0A0U2V908_9MAXI	Phosphoethanolamine_N-methyltransferase_3	Pseudodiaptomus_poplesia	1.6e-84	93	91	PF13489	Methyltransferase domain	9.9E-24	N	0	75.4418449965216	75.5977539693388	66.1405871677755	6.04632648526909	13.2684503217664	5.55540431510677	3,333333333	1,9	1,5
Aameta	TRINITY_DN7224_c0_g1_i1	Eucalanus-hyalinus_2598	OG0004737	IPR036663	Fumarylacetoacetase-like, C-terminal domain superfamily	Vertebrata|Actinopterygii	5.67e-111	-	-	-	-	-	-	-	-	GO:0003824	catalytic_activity	catalytic_activity	catalytic_activity	-	-	-	-	tr|A0A3P9BRG5|A0A3P9BRG5_9CICH	Fumarylacetoacetate_hydrolase_domain-containing_protein_2	Maylandia_zebra	6.0e-89	89	93	PF01557	Fumarylacetoacetate (FAA) hydrolase family	8.4E-69	N	0	13.5763590523079	19.8980811254491	14.4891038624218	1.34715800391296	3.11904532098962	4.15041517802035	3	2,1	2,055555556
Aameta	TRINITY_DN28839_c1_g1_i1	Eucalanus-hyalinus_28723	OG0004872	IPR006223|IPR027266|IPR028896|IPR029043	Glycine cleavage system T protein|GTP-binding protein TrmE/Aminomethyltransferase GcvT, domain 1|Aminomethyltransferase-like|Glycine cleavage T-protein/YgfZ, C-terminal	Bilateria|Arthropoda	4.24e-155	ko01000	Enzymes	ko00260|ko00630|ko00670	Glycine,_serine_and_threonine_metabolism_(Amino_acid_metabolism)|Glyoxylate_and_dicarboxylate_metabolism_(Carbohydrate_metabolism)|One_carbon_pool_by_folate_(Metabolism_of_cofactors_and_vitamins)	GO:0006546	glycine_catabolic_process	cellular_metabolic_process	metabolic_process	GO:0004047|GO:0005515	aminomethyltransferase_activity|protein_binding	transferase_activity|protein_binding	catalytic_activity|binding	-	-	-	-	tr|C1BUW9|C1BUW9_LEPSM	Aminomethyltransferase	Lepeophtheirus_salmonis	3.3e-123	98	99	PF08669|PF01571	Glycine cleavage T-protein C-terminal barrel domain|Aminomethyltransferase folate-binding domain	2.9E-20|3.7E-79	N	0	12.0769747470833	23.399820084733	13.5557742871702	1.34023530091238	3.41560630912182	2.76030809601353	2	1,7	1,333333333
Aameta	TRINITY_DN18560_c0_g1_i1	Eucalanus-hyalinus_10572	OG0006131	IPR007698|IPR007886|IPR036291	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain|Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal|NAD(P)-binding domain superfamily	Bilateria|Arthropoda	0.0	ko01000	Enzymes	ko00310	Lysine_degradation_(Amino_acid_metabolism)	-	-	-	-	GO:0016491	oxidoreductase_activity	oxidoreductase_activity	catalytic_activity	-	-	-	-	tr|A0A553PU11|A0A553PU11_TIGCA	Uncharacterized_protein	Tigriopus_californicus	0.0e+00	99	99	PF03435|PF16653|PF05222	Saccharopine dehydrogenase NADP binding domain|Saccharopine dehydrogenase C-terminal domain|Alanine dehydrogenase/PNT, N-terminal domain	4.0E-20|1.9E-89|1.5E-27	N	0	4.491128554268	15.2254446606339	3.88523497829222	1.24162028010411	1.26901001144594	1.51465135203089	1,333333333	2,1	1,388888889
